CODE,NAME,SCIENTIFIC_NAME,TYPE_CODE,CAS_REGISTRY_NUM,CFR_SECTION_REF_CD,REPORTABLE_STR_DAT,REPORTABLE_END_DAT,STATE_CLASS_CODE
0100,TURBIDITY,,WQ,,141.13,,,WQP
0200,SWTR,,RL,,,,,
0300,IESWTR,,RL,,,,,
0400,DBP STAGE 1,,RL,,,,,
0500,FILTER BACKWASH RULE,,RL,,,,,
0600,DBP STAGE 2,,RL,,,,,
0700,GROUNDWATER RULE,,RL,,,,,
0800,LT2ESWTR,,RL,,,,,
0999,CHLORINE,,WQ,,,,,WQP
1***,ALL NIPDWR INORGANIC CONTAMINANTS,,GC,,,,,
1000,TOTAL CHLORINE,"CHLORAMIDE, CHLORAMINE",WQ,7782-50-5,,,,WQP
1001,COMBINED CHLORINE,,WQ,7782-50-5,,,,WQP
1002,ALUMINUM,,IOC,7429-90-5,,,,IOC
1003,NITROGEN-AMMONIA AS (N),,IOC,7727-37-9,,,,IOC
1004,BROMIDE,,IOC,24959-67-9,,,,IOC
1005,ARSENIC,,IOC,7440-38-2,141.62,,,IOC
1006,CHLORAMINE,,WQ,10599-90-3,,,,WQP
1007,CHLORATE,,IOC,14866-68-3,,,,IOC
1008,CHLORINE DIOXIDE,,WQ,10049-04-4,,,,WQP
1009,CHLORITE,,IOC,14998-27-7,,,,IOC
1010,BARIUM,,IOC,7440-39-3,141.62,,,IOC
1011,BROMATE,,IOC,15541-45-4,,,,IOC
1012,RESIDUAL CHLORINE,,WQ,7782-50-5,,,,WQP
1013,FREE RESIDUAL CHLORINE,,WQ,7782-50-5,,,,WQP
1014,OZONE RESIDUAL,,WQ,10028-15-6,,,,WQP
1015,CADMIUM,,IOC,7440-43-9,141.62,,,IOC
1016,CALCIUM,,IOC,7440-70-2,,,,IOC
1017,CHLORIDE,,IOC,16887-00-6,,,,IOC
1018,"CARBON, TOTAL",,IOC,,,,,IOC
1019,CALCIUM,,WQ,,,,,WQP
1020,CHROMIUM,,IOC,7440-47-3,141.62,,,IOC
1021,HYDROXIDE AS CALCIUM CARBONATE,,WQ,14280-30-9,,,,WQP
1022,"COPPER, FREE",,IOC,7440-50-8,141.80.c,,,LC
1024,CYANIDE,,IOC,57-12-5,141.62,1/30/1991,12/31/1992,CYA
1025,FLUORIDE,,IOC,16984-48-8,141.62,,,FLU
1026,BICARBONATE AS HCO3,,WQ,71-52-3,,,,WQP
1027,HYDROGEN SULFIDE,,WQ,7783-06-4,,,,WQP
1028,IRON,,IOC,7439-89-6,,,,IOC
1029,"IRON, SUSPENDED",,IOC,7439-89-6,,,,IOC
1030,LEAD,,IOC,7439-92-1,141.80.c,,,LC
1031,MAGNESIUM,,IOC,7439-95-4,,,,IOC
1032,MANGANESE,,IOC,7439-96-5,,,,IOC
1033,"MANGANESE, SUSPENDED",,IOC,7439-96-5,,,,IOC
1034,"MANGANESE, DISSOLVED",,IOC,,,,,IOC
1035,MERCURY,,IOC,7439-97-6,141.62,,,IOC
1036,NICKEL,,IOC,7440-02-0,141.62,1/30/1991,12/31/1992,IOC
1037,TOTAL KJELDAHL NITROGEN (IN WATER MG/L),,IOC,7727-37-9,,,,IOC
1038,NITRATE-NITRITE,,IOC,,141.62,,,NIT
1039,PERCHLORATE,PERCHLORATE ION,OC,,,,,
1040,NITRATE,,IOC,14797-55-8,141.62,,,NIT
1041,NITRITE,,IOC,14797-65-0,141.62,,,IOC
1042,POTASSIUM,,IOC,7440-09-7,,,,IOC
1043,"PHOSPHATE, TOTAL",,IOC,14265-44-2,,,,IOC
1044,ORTHOPHOSPHATE,,WQ,14265-44-2,,,,WQP
1045,SELENIUM,,IOC,7782-49-2,141.62,,,IOC
1046,PERCENT SODIUM,,WQ,7440-23-5,,,,WQP
1047,SODIUM ADSORPTION RATIO,,WQ,,,,,WQP
1048,TOTAL HARDNESS (GR/GAL)D,,WQ,,,,,WQP
1049,SILICA,,IOC,7631-86-9,,,,IOC
1050,SILVER,,IOC,7440-22-4,,,,IOC
1051,STRONTIUM,,RA,7440-24-6,,,,RAD
1052,SODIUM,,IOC,7440-23-5,,,,IOC
1055,SULFATE,,IOC,14808-79-8,141.40.n,1/30/1991,,IOC
1056,"RESIDUE, NON FILTERABLE (TSS)",,IOC,,,,,IOC
1057,"RESIDUE, TOTAL, FILTERABLE",,WQ,,,,,WQP
1058,"RESIDUE, FILTERABLE-VOLATILE",,WQ,,,,,WQP
1059,"RESIDUE, FILTERABLE-FIXED",,WQ,,,,,WQP
1060,"RESIDUE, TOTAL-VOLATILE",,WQ,,,,,WQP
1061,"RESIDUE, TOTAL-FIXED",,WQ,,,,,WQP
1062,TOT EXTRACTABLE HYDROCARBONS-DIESEL OIL,,OC,68334-30-5,,,,
1063,"RESIDUE, NONFILTERABLE-FIXED",,WQ,,,,,WQP
1064,CONDUCTIVITY @ 25 C UMHOS/CM,,WQ,,,,,WQP
1065,TOT EXTRACTABLE HYDROCARBONS-WASTE OIL,,OC,,,,,
1066,"PH, CACO3 STABILITY S.U.",,WQ,,,,,WQP
1067,"ALKALINITY, CACO3 STABILITY",,WQ,,,,,WQP
1068,"ACIDITY, TOTAL (CACO3)",,WQ,,,,,WQP
1069,"ACIDITY, M.O. (CACO3)",,WQ,,,,,WQP
1070,"RESIDUE, TOTAL",,WQ,,,,,WQP
1071,"RESIDUE, SETTLEABLE (BY WEIGHT)",,WQ,,,,,WQP
1072,"PHOSPHORUS, SOLUBLE",,IOC,7723-14-0,,,,IOC
1073,"PHOSPHATE, REACTIVE",,IOC,14265-44-2,,,,IOC
1074,"ANTIMONY, TOTAL",,IOC,7440-36-0,141.62,1/30/1991,12/31/1992,IOC
1075,"BERYLLIUM, TOTAL",,IOC,7440-41-7,141.62,1/30/1991,12/31/1992,IOC
1076,COD MG/L,,WQ,,,,,WQP
1077,"RESIDUE, NONFILTERABLE, VOLATILE",,WQ,,,,,WQP
1078,"BISMUTH, TOTAL",,IOC,7440-69-9,,,,IOC
1079,"BORON, TOTAL",,IOC,7440-42-8,,,,IOC
1080,"CHROMIUM, HEX",,IOC,18540-29-9,,,,IOC
1081,"COBALT, TOTAL",,IOC,7440-48-4,,,,IOC
1082,"IRON, DISSOLVED",,IOC,7439-89-6,,,,IOC
1083,"LITHIUM, TOTAL",,IOC,7439-93-2,,,,IOC
1084,"MOLYBDENUM, TOTAL",,IOC,7439-98-7,,,,IOC
1085,"THALLIUM, TOTAL",,IOC,7440-28-0,141.62,1/30/1991,12/31/1992,IOC
1086,"TIN, TOTAL",,IOC,7440-31-5,,,,IOC
1087,"TITANIUM, TOTAL",,IOC,7440-32-6,,,,IOC
1088,"VANADIUM, TOTAL",,RA,7440-62-2,,,,RAD
1089,MBAS - FOAMING AGENTS (SURFACTANTS),,WQ,,,,,WQP
1090,"OIL-GREASE, TOTAL",,OC,,,,,
1091,"BOD, 5-DAY, MG/L",,WQ,,,,,WQP
1092,TOD MG/L,,WQ,,,,,WQP
1093,"PHOSPHORUS, TOTAL",,IOC,7723-14-0,,,,IOC
1094,ASBESTOS,,IOC,1332-21-4,141.62,,,IOC
1095,ZINC,,IOC,7440-66-6,,,,IOC
1096,OZONE,,WQ,,,,,WQP
1901,CARBON DIOXIDE,,WQ,124-38-9,,,,WQP
1902,CARBON DISULFIDE,DITHIOCARBONIC ANHYDRIDE,OC,75-15-0,,,,
1905,COLOR,,WQ,,,,,WQP
1910,CORROSIVITY,,WQ,,,,,WQP
1914,CALCIUM HARDNESS,,WQ,,,,,WQP
