CODE,NAME
ARAD,ALL RADIOCHEMICAL
AREG,ALL REG EXP.PBCU/DBP
ASOC,ALL SOCS
AVOC,ALL VOCS(REG/UNREG)
BSEC,BASELINE SECONDARIES
CARB,SOC - CARBAMATE PEST
CYA,CYANIDE GROUP
DALA,SOC - DALAPON
DBP1,TTHM & HAA5
DIQU,SOC - DIQUAT
ENDO,SOC - ENDOTHALL
FLU,FLUORIDE GROUP
GA,GROSS ALPHA
GLYP,SOC - GLYPHOSATE
HAA5,HALOACETIC ACIDS
HM,HEAVY METALS
NIT,NITRATES GROUP
NITI,NITRITE GROUP
NRAD,NEW RAD RULE
ORGA,SOC -ORGANOCHLORINE
PBCU,LEAD AND COPPER
PRE8,ALL REG PRE-2008
QGAU,QT GA & UMASS
RAD,OLD RAD RULE
RSOC,REGULATED SOCS
SEC,SECONDARY PARAMETERS
SECM,SECONDARY HEAVY META
SEMI,SOC - SEMIVOLATILES
SOCS,OLD SOCS
TOCA,TOCA
TTHM,TOTAL TRIHALOMETHANE
UNRG,UNREGULATED
VOC1,VOLATILE ORGANICS
VOC2,SOC - EDB AND DBCP
