Analyte Code,Analyte Name,MIN_ANALYSIS_TIME,MAX_ANALYSIS_TIME,HOLDING_TIME,Method Code,Method Name,PURPOSE_TEXT
1049,SILICA,,,,D859-88,COLORIMETRIC-MOLYBDATE BLUE,
1049,SILICA,,,,I-1700-85,COLORIMETRIC-MOLYBDATE BLUE,
1044,ORTHOPHOSPHATE,,,,I-1601-85,COLORIMETRIC-MOLYBDATE BLUE,
1064,CONDUCTIVITY @ 25 C UMHOS/CM,0,0,0,120.1,CONDUCTANCE @ 25C,
1064,CONDUCTIVITY @ 25 C UMHOS/CM,,,,2510B,CONDUCTANCE @ 25C,
3018,CLOSTRIDIUM,,,,9216B,CULTURE & MICROSCOPIC EXAMINATION,
3017,PSEUDOMONAS,,,,9216B,CULTURE & MICROSCOPIC EXAMINATION,
3004,STAPHYLOCOCCUS,,,,9216B,CULTURE & MICROSCOPIC EXAMINATION,
2079,DIBROMOACETONITRILE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2957,"1,1-DICHLORO-2-PROPANONE",,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2956,"1,1,1-TRICHLORO-2-PROPANONE",,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2953,CHLOROPICRIN,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2952,CHLORAL HYDRATE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2462,BROMOCHLOROACETONITRILE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2950,TTHM,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2946,ETHYLENE DIBROMIDE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2944,DIBROMOCHLOROMETHANE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2943,BROMODICHLOROMETHANE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2942,BROMOFORM,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2941,CHLOROFORM,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2931,"1,2-DIBROMO-3-CHLOROPROPANE",,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2982,CARBON TETRACHLORIDE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
